canton,poblacion_total
SAN JOSE,288054
ALAJUELA,254886
DESAMPARADOS,208411
SAN CARLOS,163745
CARTAGO,147898
PEREZ ZELEDON,134534
POCOCI,125962
HEREDIA,123616
PUNTARENAS,115019
GOICOECHEA,115084
LA UNION,99399
LIMON,94415
SAN RAMON,80566
ALAJUELITA,77603
TURRIALBA,69616
GRECIA,100.123
CURRIDABAT,65206
TIBAS,64842
LIBERIA,62987
VAZQUEZ DE CORONADO,60486
ASERRI,57892
PARAISO,57743
SARAPIQUI,57147
SIQUIRRES,56786
MORAVIA,56919
ESCAZU,56509
SANTA CRUZ,55104
NICOYA,50825
MONTES DE OCA,49132
SANTA ANA,49123
SAN RAFAEL,45965
OREAMUNO,45473
BUENOS AIRES,45244
UPALA,43953
NARANJO,42713
CORREDORES,41831
EL GUARCO,41793
GUACIMO,41266
BARVA,40660
SANTO DOMINGO,40072
GOLFITO,39150
COTO BRUS,38453
MATINA,37721
CARRILLO,37122
SANTA BARBARA,36243
PALMARES,34716
PURISCAL,33004
TALAMANCA,30712
OSA,29433
POAS,29199
ESPARZA,28644
SAN PABLO,27671
QUEPOS,26861
MORA,26294
CANAS,26201
ATENAS,25460
LOS CHILES,23735
BELEN,21633
SAN ISIDRO,20633
OROTINA,20341
ACOSTA,20209
FLORES,20037
TILARAN,19640
BAGACES,19536
LA CRUZ,19181
SARCHI,18085
ABANGARES,18039
GARABITO,17229
TARRAZU,16280
PARRITA,16115
GUATUSO,15508
JIMENEZ,14669
ALVARADO,14312
MONTES DE ORO,12950
ZARCERO,12205
LEON CORTES CASTRO,12200
NANDAYURE,11121
RIO CUARTO,11074
HOJANCHA,7197
DOTA,6948
SAN MATEO,6136
TURRUBARES,6536
