canton,frecuencia_de_cantones
SAN JOSE,62111
ALAJUELA,20569
HEREDIA,12748
CARTAGO,10497
PUNTARENAS,10374
SAN CARLOS,10105
DESAMPARADOS,9999
PEREZ ZELEDON,8776
POCOCI,8693
LIBERIA,8453
LIMON,7577
GOICOECHEA,7386
MONTES DE OCA,6878
SANTA CRUZ,6797
GARABITO,5522
SIQUIRRES,5256
SAN RAMON,5152
LA UNION,4862
TURRIALBA,4674
CURRIDABAT,4641
NICOYA,4483
DESCONOCIDO,4460
QUEPOS,4457
OSA,4410
TIBAS,4154
TALAMANCA,4109
MATINA,3948
ALAJUELITA,3945
CORREDORES,3609
SARAPIQUI,3526
GOLFITO,3405
ESCAZU,3333
SANTA ANA,3033
MORAVIA,3018
UPALA,2977
GRECIA,2942
CARRILLO,2600
SAN RAFAEL,2589
GUACIMO,2588
VASQUEZ DE CORONADO,2438
OROTINA,2384
BUENOS AIRES,2279
ASERRI,2252
CANAS,2244
BARVA,2237
SANTO DOMINGO,2237
PARAISO,2212
COTO BRUS,2138
ESPARZA,2124
LOS CHILES,2030
EL GUARCO,1916
PARRITA,1901
BELEN,1882
SANTA BARBARA,1829
OREAMUNO,1764
PURISCAL,1602
SAN PABLO,1434
ATENAS,1354
NARANJO,1282
PALMARES,1214
LA CRUZ,1186
BAGACES,1183
FLORES,1128
MORA,1113
POAS,1035
SAN ISIDRO,924
ABANGARES,897
TILARAN,866
GUATUSO,832
JIMENEZ,734
TARRAZU,580
SARCHÍ,564
MONTES DE ORO,535
RIO CUARTO,478
ACOSTA,470
ALVARADO,452
LEON CORTES,381
SAN MATEO,364
TURRUBARES,319
DOTA,309
NANDAYURE,299
HOJANCHA,293
ZARCERO,269
PUERTO JIMÉNEZ,263
MONTEVERDE,182
